# Program:featureCounts v2.0.4; Command:"featureCounts" "-s" "2" "-T" "2" "-p" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "allSamples.featureCounts.txt" "SRR24466380.bam" "SRR24466381.bam" "SRR24466382.bam" "SRR24466389.bam" "SRR24466390.bam" "SRR24466391.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR24466380.bam	SRR24466381.bam	SRR24466382.bam	SRR24466389.bam	SRR24466390.bam	SRR24466391.bam
YOL098C	XV	132725	135838	-	3114	1705	2923	2040	5826	3186	2804
YOR171C	XV	652010	653884	-	1875	1051	1546	1107	3732	1724	2070
YOL089C	XV	150398	153490	-	3093	416	725	605	1677	876	802
YOL150C	XV	44473	44784	-	312	23	17	15	50	40	53
YOR095C	XV	503552	504328	-	777	608	441	403	1805	368	1488
YOL146W	XV	48864	49448	+	585	1503	1523	1519	2142	1126	1029
YOR224C	XV	760825	761265	-	441	2115	2470	1279	6830	2425	3957
YOR302W	XV	882765	882842	+	78	691	823	322	2008	840	1752
YOR286W	XV	850280	850729	+	450	1208	1812	1175	4423	2377	2320
YOR046C	XV	414459	415907	-	1449	1819	2656	1831	9011	2543	4164
tG(CCC)O	XV	594354	594425	-	72	131	143	128	77	225	124
YOR388C	XV	1071793	1072923	-	1131	2	4	10	8	2	0
YOR228C	XV	766869	767777	-	909	458	589	455	1884	873	803
YOL112W	XV	106710	108188	+	1479	1268	1683	1226	3117	2338	1582
YOR141C	XV	589942	592587	-	2646	670	1053	783	3112	1264	1591
YOL131W	XV	73031	73357	+	327	4	26	13	24	42	7
YOR049C	XV	422668	423732	-	1065	177	135	160	1747	523	825
YOL143C	XV	54595	55104	-	510	4707	6557	3214	28999	10133	8200
YOR172W	XV	654210	656570	+	2361	711	951	600	2310	1299	1329
YOR149C	XV	609838	611388	-	1551	948	1702	733	1795	1516	1151
YOL164W	XV	6175	8115	+	1941	684	915	721	2027	1148	1249
YOR011W	XV	349679	353863	+	4185	521	732	373	1739	1022	856
YOR071C	XV	459480	461276	-	1797	659	901	534	1706	1271	823
YOR022C	XV	373710	375857	-	2148	554	862	811	1637	1187	874
YOR125C	XV	559030	559731	-	702	1172	1641	1548	3992	2451	2140
YOL141W	XV	56452	58539	+	2088	26	45	13	77	30	56
YOR101W	XV	515244	516173	+	930	340	438	317	1634	450	1409
YOR263C	XV	818757	819164	-	408	0	0	0	2	0	0
YOR383C	XV	1060441	1061055	-	615	275	377	271	1204	613	555
YOR056C	XV	430247	431626	-	1380	606	696	490	1962	610	1567
YOL075C	XV	189658	193542	-	3885	463	582	420	1315	755	778
YOR073W-A	XV	467390	467623	+	234	0	2	0	0	0	0
YOR246C	XV	795801	796793	-	993	4404	3824	2786	7518	2875	4214
YOR042W	XV	408425	409660	+	1236	1810	2851	1705	8788	3180	3804
YOR236W	XV	780906	781541	+	636	518	648	231	1714	515	1111
YOR183W	XV	678872	679261	+	390	10	15	6	7	4	8
YOR176W	XV	662401	663582	+	1182	1436	2281	1819	7466	2760	3097
YOR238W	XV	783677	784588	+	912	596	934	548	1766	887	970
YOR367W	XV	1026007	1026609	+	603	1268	1963	1224	4125	2022	1943
YOR297C	XV	874743	875321	-	579	470	691	443	1615	919	1175
YOR310C	XV	896825	898360	-	1536	1329	1557	692	4975	1038	3385
YOR063W	XV	444686	445849	+	1164	63083	87613	59117	263611	74046	159323
YOR189W	XV	689624	689974	+	351	1097	1746	1180	3666	2471	2034
YOL129W	XV	77560	78114	+	555	6863	8840	4729	10300	8379	5033
YOR280C	XV	844992	845792	-	801	619	907	626	1938	1086	930
YOR037W	XV	401555	402655	+	1101	491	943	629	2131	1178	1198
YOR090C	XV	491123	492841	-	1719	1083	1888	1086	4486	2140	2398
YOR313C	XV	901858	902874	-	1017	474	421	220	847	320	398
YOL032W	XV	265429	266169	+	741	5138	5446	4366	21712	4394	5589
YOR158W	XV	632164	633120	+	957	749	1132	861	3423	2101	1904
YOR162C	XV	639560	641992	-	2433	666	1094	803	2647	1531	1349
YOL092W	XV	144204	145130	+	927	2936	2583	1200	5836	2705	4538
YOL061W	XV	212244	213734	+	1491	1563	1884	1204	4297	1535	2595
YOR232W	XV	774573	775259	+	687	4736	7155	7115	16110	9433	8130
YOR219C	XV	752214	755009	-	2796	4115	5304	2951	7564	4854	3584
YOR182C	XV;XV	678191;678791	678379;678793	-;-	192	33837	44480	31032	60619	37180	42380
YOL099C	XV	132017	132508	-	492	59	49	44	93	39	47
YOR294W	XV	868340	868951	+	612	235	387	152	741	208	635
YOR288C	XV	852121	853077	-	957	3232	3963	2600	5858	3267	2513
YOR110W	XV	528941	530248	+	1308	665	963	523	2434	1225	1308
YOR040W	XV	407064	407921	+	858	344	685	567	1148	853	494
YOL083W	XV	165714	166952	+	1239	386	671	675	1289	848	599
YOL136C	XV	67561	68754	-	1194	1148	3342	1576	4438	2664	2205
YOL130W	XV	74400	76979	+	2580	717	1167	667	1995	1116	1198
YOL021C	XV	282421	285426	-	3006	734	1127	693	2664	1041	1393
YOR282W	XV	847000	847320	+	321	1	2	0	2	1	0
YOL077W-A	XV	185438	185644	+	207	20263	26806	30448	18613	28411	13523
YOR319W	XV	912822	913463	+	642	1987	3426	3893	4402	2258	1996
YOR030W	XV	386825	388684	+	1860	643	1034	601	1891	1222	1189
YOR291W	XV	861175	865593	+	4419	1766	1820	1215	4118	2030	2173
YOL077C	XV	185848	186723	-	876	1396	1410	1039	3848	818	3189
YOR390W	XV	1076784	1077911	+	1128	255	285	123	466	331	354
YOL052C-A	XV	231570	231755	-	186	1805	3654	5106	7854	5469	4165
YOR123C	XV	553176	554570	-	1395	1627	2695	1695	8130	3129	4419
YOR013W	XV	356751	357221	+	471	64	155	69	233	219	140
YOR249C	XV	798674	800731	-	2058	768	1026	1035	2686	1854	1675
YOR362C	XV	1017880	1018746	-	867	3875	7495	4967	16090	8374	6874
YOL058W	XV	219211	220473	+	1263	13977	12047	7436	101520	17029	64545
YOR143C	XV	601383	602342	-	960	1181	1350	1220	2631	890	1412
YOR347C	XV	984942	986462	-	1521	740	1333	1639	5404	2215	3177
YOL157C	XV	22525	24294	-	1770	355	391	437	977	553	421
YOL057W	XV	220767	222902	+	2136	2091	3175	2090	5326	3108	2351
YOR321W	XV	916030	918291	+	2262	1609	2117	970	2772	1554	1441
YOR015W	XV	359993	360352	+	360	557	900	1004	1896	1135	819
YOR111W	XV	530429	531127	+	699	462	1011	871	1666	1213	922
YOL008W	XV	310312	310935	+	624	420	747	560	2059	912	1008
YOR279C	XV	843698	844630	-	933	612	980	1228	1604	1149	1006
YOR394C-A	XV	1084202	1084369	-	168	6	3	0	26	10	4
YOR180C	XV	674352	675167	-	816	576	550	493	1149	722	726
YOL055C	XV	224420	226075	-	1656	476	806	415	1741	1040	835
snR5	XV	842403	842606	+	204	926	1330	1508	1232	1311	1797
YOL139C	XV	60383	61024	-	642	7590	9253	7153	24063	8378	11446
YOR287C	XV	850937	851839	-	903	419	362	328	676	288	533
YOR198C	XV	718653	720065	-	1413	5207	7369	4420	20616	6617	9951
YOR053W	XV	427817	428158	+	342	46	73	89	46	70	51
YOL054W	XV	228614	229834	+	1221	274	460	306	797	420	468
YOR012W	XV	356543	356956	+	414	56	104	43	194	165	106
YOL118C	XV	96608	96916	-	309	11	18	15	54	40	37
YOR034C	XV	394837	397086	-	2250	561	761	532	1713	825	853
YOR374W	XV	1039840	1041399	+	1560	1530	2469	5252	12521	6254	7643
YOR018W	XV	364369	366882	+	2514	871	1250	939	2330	1917	1237
YOL084W	XV	162356	165331	+	2976	4576	2008	3349	3537	1681	1540
YOR314W	XV	903043	903372	+	330	19	10	14	11	7	13
YOR050C	XV	424270	424617	-	348	11	8	8	105	17	41
YOR391C	XV	1078545	1079258	-	714	89	99	139	105	96	34
YOR327C	XV	930734	931081	-	348	2751	3926	2210	7339	4481	4283
YOR352W	XV	997213	998244	+	1032	509	882	736	2199	1439	1311
YOR348C	XV	986899	988782	-	1884	187	164	216	417	176	369
YOL115W	XV	101475	103229	+	1755	482	743	534	3034	1058	1691
YOR066W	XV	449436	451325	+	1890	615	873	450	2441	1072	1074
YOR072W-A	XV	461791	462039	+	249	24	64	33	91	73	89
YOL096C	XV	138107	139045	-	939	415	556	566	2014	1042	1063
tM(CAU)O2	XV	976421	976493	+	73	21	24	7	23	24	10
YOR020C	XV	370524	370844	-	321	31857	41077	28849	115981	30730	30577
YOR133W	XV	575098	577626	+	2529	4407	5456	3173	19902	4793	9121
YOR356W	XV	1007221	1009116	+	1896	1132	1436	1042	3617	1553	1767
YOR208W	XV	733925	736177	+	2253	1181	1598	1195	2020	1060	916
YOR357C	XV	1009224	1009712	-	489	2350	3669	3984	7384	3679	3259
YOR277C	XV	841515	841823	-	309	16	29	5	22	25	21
YOR276W	XV	841333	841818	+	486	14454	13664	10018	21282	10293	12353
YOR247W	XV	797676	798308	+	633	16451	15860	5417	12303	8785	7319
snR50	XV	259489	259578	+	90	167	230	136	222	287	208
YOL047C	XV;XV	241614;242505	242441;242747	-;-	1071	32	51	56	47	95	26
YOR221C	XV	756476	757558	-	1083	679	1208	814	3468	2359	1728
YOR344C	XV	977194	978069	-	876	3150	3207	1552	16430	2179	5671
YOR269W	XV	826385	827869	+	1485	384	503	240	1630	599	719
YOR152C	XV	617518	618288	-	771	683	1305	803	1372	1470	786
YOR103C	XV	516449	516841	-	393	9526	12665	12538	15236	9935	7257
YOR377W	XV	1046226	1047803	+	1578	847	1411	995	2846	1844	1289
YOR129C	XV	566877	569558	-	2682	424	422	293	1450	536	914
YOL038C-A	XV	254926	255021	-	96	2901	7373	5362	2015	9406	2124
YOR156C	XV	628360	630540	-	2181	282	433	239	1087	603	571
YOR329C	XV	936731	939349	-	2619	1679	2725	1845	4472	2784	2020
YOR351C	XV	995018	996511	-	1494	13	15	22	12	26	4
YOL040C	XV	253149	253577	-	429	19504	20987	9293	66557	19368	39461
YOL159C-A	XV	15233	15505	-	273	453	582	576	741	751	542
YOR051C	XV	424846	426084	-	1239	1772	2513	1234	6763	2733	3419
YOR003W	XV	331455	332891	+	1437	528	947	550	1214	975	652
YOR064C	XV	446079	446738	-	660	1596	1951	1779	3528	1864	1724
YOR073W	XV	464771	466543	+	1773	815	752	513	2050	832	1212
YOR201C	XV	720470	721708	-	1239	934	1046	385	3232	1161	2021
YOR065W	XV	447439	448368	+	930	1532	2433	2092	6521	2942	3253
YOR186W	XV	683111	683545	+	435	94	94	74	355	147	81
YOR045W	XV	413852	414037	+	186	3653	4526	4278	6498	5314	4353
YOL018C	XV	290881	292074	-	1194	735	1126	808	2122	1149	1214
YOL133W	XV	70325	70690	+	366	942	1425	1082	2631	1734	1365
YOR087W	XV	487707	489734	+	2028	1814	3049	1627	4846	3072	2656
YOL028C	XV	270633	271370	-	738	262	326	137	708	294	407
YOL086C	XV	159548	160594	-	1047	80190	168636	98030	517521	175812	197285
YOL108C	XV	111431	111886	-	456	1643	2300	2364	4071	2463	1719
YOL023W	XV	278056	280086	+	2031	474	663	442	1404	1043	749
YOR011W-A	XV	355652	355858	+	207	7	5	5	0	7	4
YOR165W	XV	644566	646896	+	2331	1644	2672	1541	6112	3089	3478
YOL068C	XV	200368	201879	-	1512	1633	2909	1592	4799	2932	2828
YOR138C	XV	584309	586324	-	2016	1195	1886	1414	4287	2460	1920
YOR016C	XV	360461	361084	-	624	1944	2325	1533	3878	2100	2245
YOL121C	XV;XV	92026;92831	92440;92850	-;-	435	12901	13618	6016	34652	13995	23653
YOL126C	XV	81787	82920	-	1134	1345	1472	1496	10007	3375	5172
YOR235W	XV	779870	780184	+	315	8	17	8	11	25	23
YOR080W	XV	474594	476792	+	2199	879	1273	1100	2182	1347	1257
YOR169C	XV	651376	651840	-	465	5	4	8	40	13	14
YOR028C	XV	383533	384420	-	888	406	253	265	1707	354	1050
YOR225W	XV	761392	761721	+	330	4	2	0	28	2	16
YOR108C-A	XV	524605	524814	-	210	3	40	26	5	25	11
YOR109W	XV	525278	528601	+	3324	953	1545	1119	3914	2055	2061
YOL093W	XV	142815	143696	+	882	358	532	226	1187	377	825
YOR147W	XV	606607	608475	+	1869	1456	2326	2862	4354	2790	2555
YOR218C	XV	751476	751895	-	420	7	13	10	10	8	7
YOR254C	XV	805032	807023	-	1992	8726	9355	5182	12545	7343	7104
YOL080C	XV	180558	181427	-	870	146	174	82	411	114	293
YOR161W-B	XV	637975	638235	+	261	9	11	0	33	6	9
tY(GUA)O	XV;XV	288192;288245	288230;288280	+;+	75	0	2	5	1	2	3
YOR136W	XV	580250	581359	+	1110	4503	6810	4377	36629	13154	13239
tR(ACG)O	XV	340299	340371	-	73	2	0	0	1	0	0
YOR192C-C	XV	703988	704224	-	237	84	115	140	213	142	59
YOR205C	XV	725564	727234	-	1671	378	535	255	1018	520	720
YOR200W	XV	720417	720815	+	399	4	0	2	4	2	7
YOR305W	XV	889022	889750	+	729	1442	1658	2009	3928	1897	1847
YOR195W	XV	712866	715331	+	2466	2943	3600	4718	5918	2006	3020
YOL123W	XV	87844	89448	+	1605	7612	8786	7394	20144	8984	8339
YOR097C	XV	506978	507505	-	528	1349	2246	1170	2606	2519	1852
YOL083C-A	XV	166461	166601	-	141	4	4	8	14	5	6
YOL086W-A	XV	159173	159445	+	273	3541	2913	3517	4022	2520	2037
YOR337W	XV	954344	956623	+	2280	813	1105	428	2523	932	1647
YOL100W	XV	129237	132482	+	3246	1392	2114	1674	4309	2684	2009
YOR289W	XV	853357	854112	+	756	10867	21009	26534	12592	20937	6453
YOR255W	XV	807271	808107	+	837	6	8	20	28	22	3
YOR304W	XV	884514	887876	+	3363	1266	2031	1944	4556	2680	2311
YOL163W	XV	9597	10106	+	510	41	50	22	120	50	71
YOR077W	XV	471899	472597	+	699	198	222	129	600	329	342
YOR074C	XV	466675	467589	-	915	776	884	465	2066	501	1127
YOR117W	XV	545029	546333	+	1305	3611	7066	6291	11578	7632	5792
YOR055W	XV	429478	429912	+	435	0	2	0	0	2	0
YOL166W-A	XV	585	740	+	156	0	0	0	0	0	0
YOL066C	XV	202696	204471	-	1776	467	605	284	1684	567	793
YOR396W	XV	1085473	1090863	+	5391	0	2	2	5	0	1
YOR161C-C	XV	639121	639267	-	147	6	4	3	13	3	6
tV(AAC)O	XV	663812	663885	-	74	216	246	172	90	215	121
YOR151C	XV	612997	616671	-	3675	2906	4024	2948	10134	4636	5083
YOR187W	XV	684030	685343	+	1314	2893	3881	3954	13208	4957	5851
YOL001W	XV	325249	326130	+	882	633	1062	554	1896	1511	1102
YOR005C	XV	334509	337343	-	2835	396	737	616	1774	1061	868
YOR199W	XV	720181	720510	+	330	14	10	18	12	8	1
YOR355W	XV	1005137	1006705	+	1569	2447	2984	1423	6144	2176	3377
YOR290C	XV	855147	860258	-	5112	1903	2562	2032	7414	3251	3639
YOR396C-A	XV	1090015	1090497	-	483	0	0	0	0	0	0
YOR047C	XV	416347	417681	-	1335	1659	2509	1980	6969	3646	3677
YOL014W	XV	299693	300067	+	375	363	159	119	2701	375	1009
YOR244W	XV	792531	793868	+	1338	937	1418	1097	3391	1677	1962
YOL102C	XV	125997	126689	-	693	1060	1396	1352	2396	1236	1348
YOL060C	XV	214017	216137	-	2121	4095	4216	2127	8376	3898	3540
YOL041C	XV	251267	252646	-	1380	819	1097	572	2896	814	2191
YOL116W	XV	99809	100957	+	1149	648	929	974	2583	1113	1316
YOR353C	XV	998453	1000828	-	2376	940	1413	1118	2595	1580	1380
YOR299W	XV	878435	880675	+	2241	1856	1994	1280	4731	1892	1956
YOR366W	XV	1025256	1025609	+	354	133	131	91	224	139	136
tD(GUC)O	XV	571958	572029	+	72	963	1175	1099	486	1424	985
YOR096W	XV;XV	505794;506339	505937;506767	+;+	573	124504	115117	90595	171893	80151	107902
YOR148C	XV	608640	609197	-	558	2745	3562	3576	3645	2994	2131
YOR301W	XV	880965	882272	+	1308	466	676	336	1821	667	840
YOR257W	XV	811008	811493	+	486	1488	2357	1850	4954	3909	2841
YOR135C	XV	580159	580500	-	342	2	6	2	2	0	2
YOR032W-A	XV	392176	392376	+	201	23	10	24	102	58	36
YOR223W	XV	759782	760660	+	879	1187	1515	1456	2899	1678	1684
YOR076C	XV	469377	471620	-	2244	625	914	701	2325	1059	942
YOR231C-A	XV	773163	773363	-	201	0	0	0	3	3	0
YOR316C-A	XV	907726	907935	-	210	17	22	13	57	25	29
tS(GCU)O	XV;XV	274673;274729	274709;274773	+;+	82	5	2	2	11	2	16
YOR061W	XV	441534	442553	+	1020	1629	2477	1598	5613	2557	3365
YOR025W	XV	378219	379562	+	1344	1167	1155	745	4504	1849	2020
YOR371C	XV	1031489	1034182	-	2694	355	537	350	1298	780	713
YOL140W	XV	58759	60030	+	1272	1157	1274	863	6666	1270	3465
YOL062C	XV	210520	211995	-	1476	1922	2993	2117	5572	2967	2840
YOR292C	XV	865653	866582	-	930	1258	1822	1003	3375	2198	1499
tG(UCC)O	XV	110962	111033	-	72	4	4	4	12	4	6
YOR027W	XV	381053	382822	+	1770	29991	47944	23918	159897	30106	33470
tT(AGU)O2	XV	354041	354113	-	73	18	17	16	10	19	9
YOR142W-B	XV	595112	600380	+	5269	77	100	60	326	114	135
YOR192C-A	XV	708416	709732	-	1317	0	0	0	0	0	0
YOL103W-B	XV	118000	123268	+	5269	250	394	385	1261	751	437
YOR142W-A	XV	595112	596434	+	1323	0	0	0	0	0	0
YOR192C-B	XV	704419	709732	-	5314	233	459	344	745	441	229
YOR343W-B	XV	970578	975891	+	5314	220	314	150	696	417	378
YOR343W-A	XV	970578	971894	+	1317	0	0	0	0	0	0
YOL103W-A	XV	118000	119322	+	1323	0	0	0	0	0	0
YGL087C	VII;VII	346406;346894	346808;346904	-;-	414	2048	3062	3275	7588	4041	2895
YGL156W	VII	210416	213667	+	3252	851	1594	1619	1817	1443	632
YGL015C	VII	465043	465435	-	393	9	14	10	36	16	9
RME2	VII	141898	144120	-	2223	1240	1803	1211	5086	2687	2698
YGR251W	VII	995639	996229	+	591	191	310	137	584	264	353
YGR162W	VII	824059	826917	+	2859	1261	2011	865	4810	1260	3176
tK(UUU)G2	VII;VII	700953;701012	700988;701048	-;-	73	53	42	48	27	47	47
YGR005C	VII	504657	505859	-	1203	888	1565	851	4083	1755	2232
YGL160W	VII	200561	202273	+	1713	2838	4216	2686	5529	4045	3021
snR46	VII	545370	545566	+	197	2112	2374	1803	2647	2614	2040
tD(GUC)G1	VII	531610	531681	+	72	86	95	57	37	68	42
YGL211W	VII	92512	93591	+	1080	663	706	549	2346	864	1296
YGR141W	VII	770569	771972	+	1404	1227	1531	1404	2456	1823	1938
YGL239C	VII	49431	49745	-	315	0	0	0	0	0	0
YGL097W	VII	321782	323230	+	1449	1441	1369	1099	5559	1478	3017
YGR030C	VII	545681	546157	-	477	152	353	266	690	443	618
YGR224W	VII	942806	944647	+	1842	4	2	1	8	9	6
YGR142W	VII	772454	773686	+	1233	58285	59550	31891	303957	27996	47391
YGR186W	VII	867774	869981	+	2208	2816	4281	4829	10575	4564	4543
YGR181W	VII	858287	858604	+	318	1112	1665	855	2997	2120	1789
YGL081W	VII	357377	358339	+	963	51	110	52	177	97	102
YGR082W	VII	644044	644595	+	552	1438	1972	1076	5578	2652	3335
YGL028C	VII	441281	442909	-	1629	3422	5993	2837	7269	7031	4764
YGL021W	VII	454785	457067	+	2283	2741	2590	2339	8044	4055	3547
YGL110C	VII	301537	303411	-	1875	1016	1774	1543	4062	2661	2142
YGR167W	VII	832456	833157	+	702	3926	6892	4225	13379	8046	7588
YGL017W	VII	459854	461365	+	1512	456	634	493	1605	635	673
tA(UGC)G	VII	794417	794489	+	73	17	22	6	4	10	7
YGR156W	VII	800546	801823	+	1278	542	724	413	1530	1248	958
YGR291C	VII	1076283	1076504	-	222	1	0	0	4	0	2
YGR197C	VII	892497	894140	-	1644	1189	1235	697	2256	1215	1181
YGR041W	VII	577487	579130	+	1644	866	1091	482	1341	1098	816
YGL079W	VII	359444	360100	+	657	436	857	492	1681	1094	1124
YGL107C	VII	304333	306273	-	1941	715	1029	575	2477	1278	1498
YGL168W	VII	187464	187796	+	333	17	14	25	30	17	24
YGL228W	VII	67598	69331	+	1734	5269	7078	3738	10294	6648	5490
YGR183C	VII;VII	859063;859474	859260;859476	-;-	201	9428	13433	21699	19944	12223	8527
YGL050W	VII	405776	406597	+	822	535	877	644	1827	961	983
YGR273C	VII	1038715	1039239	-	525	7	4	10	2	6	1
YGR086C	VII	649598	650617	-	1020	10843	11887	10148	48399	14370	23385
YGR228W	VII	949365	949709	+	345	14	16	21	4	9	15
YGL145W	VII	230243	232348	+	2106	1625	2314	2054	3726	2283	1940
YGR098C	VII	682566	687458	-	4893	891	984	708	2564	936	1330
YGR074W	VII	635712	636152	+	441	744	896	1048	2528	936	1277
YGL098W	VII	317342	318079	+	738	588	1003	955	2244	1313	1250
snR7-S	VII	939494	939672	-	179	0	0	0	0	0	0
YGL096W	VII	325331	326161	+	831	983	913	859	2165	1231	942
YGR240C-A	VII	974577	974777	-	201	43	26	7	46	20	30
YGR172C	VII	842845	843591	-	747	2106	2837	1317	4918	2972	2884
YGR194C	VII	886073	887875	-	1803	1362	1670	1887	7108	2499	3262
YGL026C	VII	446412	448535	-	2124	5246	6152	3823	22197	7223	11668
YGL213C	VII	90054	91247	-	1194	868	1491	897	4342	1753	2083
YGL248W	VII	35653	36762	+	1110	2003	3055	1950	6176	3217	3524
YGL075C	VII	366925	368088	-	1164	302	345	191	965	394	501
YGL256W	VII	15159	16307	+	1149	1128	1630	974	3777	1812	1801
YGL012W	VII	472855	474276	+	1422	11453	11397	5008	19871	8232	8603
YGL082W	VII	355827	356972	+	1146	1496	2155	1831	6748	2918	3364
YGR161C	VII	808629	809420	-	792	9124	5331	3709	25426	3572	7962
tW(CCA)G1	VII;VII	287350;287420	287385;287455	-;-	72	10	33	28	33	29	41
YGR274C	VII	1039895	1043095	-	3201	887	1536	962	2973	1574	1677
YGR031C-A	VII	546809	547300	-	492	2	2	2	27	0	15
YGL037C	VII	427297	427947	-	651	14067	23958	16526	85272	21270	23448
YGL252C	VII	25718	27484	-	1767	1925	2988	2089	6653	3032	3304
YGL250W	VII	31910	32635	+	726	411	761	794	2009	976	924
YGR260W	VII	1012485	1014089	+	1605	2802	2240	1166	7082	2919	3956
YGR159C	VII	806412	807656	-	1245	756	914	496	2657	706	2691
YGR006W	VII	506070	506825	+	756	182	319	171	658	303	308
YGL121C	VII	280777	281157	-	381	1585	4410	6025	2223	4829	941
YGL040C	VII	419527	420555	-	1029	998	1457	977	4322	1957	2284
YGR130C	VII	751394	753844	-	2451	2589	3595	3492	12565	5521	5950
YGR021W	VII	527632	528504	+	873	447	514	344	1761	744	925
YGR097W	VII	678695	682135	+	3441	990	1628	1106	3381	1641	2018
YGL170C	VII	184153	185394	-	1242	37	44	36	33	66	12
YGL166W	VII	191129	191806	+	678	1664	2152	1457	2905	1400	1166
YGL104C	VII	308713	310173	-	1461	1249	2155	1258	3691	2734	1708
YGR149W	VII	789031	790329	+	1299	2653	4261	2043	5862	3712	2338
YGR195W	VII	888882	889622	+	741	767	939	564	2547	902	1550
tG(GCC)G2	VII	930953	931023	-	71	87	107	108	35	117	71
YGR250C	VII	991176	993521	-	2346	8647	14252	7354	45265	8700	8098
YGL155W	VII	214081	215211	+	1131	1076	1396	795	3686	1523	2485
YGL216W	VII	84885	87302	+	2418	595	719	415	2343	789	1293
YGR029W	VII;VII	543553;543722	543638;544205	+;+	570	1533	2058	2018	6215	3350	3125
YGL125W	VII	272520	274322	+	1803	1961	1960	1016	9898	2918	5133
YGR038W	VII	560682	561350	+	669	1620	2260	950	3368	2632	2116
YGR008C	VII	508110	508364	-	255	101806	198143	302340	160480	189234	80119
YGR248W	VII	985972	986739	+	768	1141	1581	1562	8138	2253	2625
YGL094C	VII	331118	334465	-	3348	1351	2029	1100	3807	1788	1896
YGR131W	VII	754726	755250	+	525	520	566	555	998	764	568
YGR163W	VII	827552	828577	+	1026	1010	1561	1096	4346	1961	2111
YGR125W	VII	742325	745435	+	3111	2089	2548	1953	5458	2378	2668
YGR279C	VII	1048798	1049958	-	1161	9382	10344	5146	28015	9684	14220
YGL022W	VII	452404	454560	+	2157	11751	12749	6240	20678	10528	10545
tD(GUC)G2	VII	544577	544648	-	72	124	150	130	87	110	79
YGR271W	VII	1031791	1037694	+	5904	1087	1597	1598	3966	2021	1765
YGL025C	VII	448764	449957	-	1194	640	743	603	2443	958	1345
YGL176C	VII	171415	173079	-	1665	604	713	414	1665	793	935
YGR031W	VII	546441	547469	+	1029	433	539	423	2209	735	1074
YGL102C	VII	311505	311933	-	429	25	30	23	29	47	24
YGR182C	VII	858551	858904	-	354	4174	6206	10849	8306	6064	3780
YGR025W	VII	532639	532941	+	303	244	390	167	375	384	262
YGL113W	VII	295932	297938	+	2007	330	590	230	984	624	647
YGR188C	VII	872044	875109	-	3066	2296	3063	3048	2559	2403	2246
YGL162W	VII	198138	199037	+	900	374	560	471	795	595	592
YGL084C	VII	350616	352298	-	1683	3284	4580	2477	6464	4196	3619
snR10	VII	345986	346230	+	245	118	178	114	226	232	303
YGL196W	VII	129883	131169	+	1287	1025	1918	1385	3491	1908	1659
RME3	VII	33109	35013	-	1905	446	523	497	864	526	568
YGR230W	VII	951894	952307	+	414	454	502	859	1998	804	873
YGR084C	VII	647123	648142	-	1020	714	1002	549	2687	1087	1381
YGL222C	VII	80659	81186	-	528	454	713	667	1861	1096	1424
YGR166W	VII	830515	832197	+	1683	794	1086	662	1583	850	844
YGR122C-A	VII	735630	735758	-	129	200	330	353	448	392	187
YGR152C	VII	794674	795492	-	819	529	702	345	1607	387	683
YGL210W	VII	93792	94460	+	669	927	1619	754	3871	1790	1946
YGR265W	VII	1021648	1022058	+	411	0	0	0	0	0	0
YGR157W	VII	802440	805049	+	2610	13888	18647	7188	33726	15926	13877
YGL240W	VII	48613	49365	+	753	77	132	93	286	181	171
YGR085C	VII	648383	648907	-	525	6441	8586	5554	24152	7423	13358
YGR237C	VII	963298	965655	-	2358	1139	1637	1270	4527	2195	2428
YGL146C	VII	228751	229686	-	936	70	101	121	338	260	210
YGL153W	VII	216273	217298	+	1026	612	929	667	3481	1254	1758
YGR075C	VII	636147	636875	-	729	372	676	688	1168	877	708
tT(UGU)G2	VII	1004216	1004287	+	72	5	10	3	2	8	8
YGL169W	VII	186059	187339	+	1281	434	571	324	1078	600	837
YGR187C	VII	870232	871416	-	1185	600	640	445	1784	445	1086
YGL167C	VII	187616	190468	-	2853	8369	11329	6421	11057	9098	5619
YGR050C	VII	592086	592442	-	357	2909	2900	2349	4422	2279	2152
YGR035W-A	VII	557565	557786	+	222	0	0	2	4	2	0
YGR217W	VII	924696	930815	+	6120	920	881	519	1873	1007	1011
YGR068C	VII	625324	627084	-	1761	352	457	304	1670	666	1151
YGR296W	VII;VII	1084864;1085031	1084882;1090591	+;+	5580	7	4	2	15	4	2
YGR177C	VII	848829	850436	-	1608	201	257	145	972	242	433
YGL068W	VII	375087	375671	+	585	3436	4356	3689	8861	5862	5743
tN(GUU)G	VII	731137	731210	+	74	10	9	11	10	4	9
YGL018C	VII	459110	459664	-	555	414	621	402	1640	829	879
YGL188C	VII	149343	149516	-	174	564	900	1068	935	1295	676
YGR126W	VII	745835	746527	+	693	129	205	110	260	210	211
YGL065C	VII	379760	381271	-	1512	2014	2518	1377	3846	2314	2172
YGL014W	VII	466141	468807	+	2667	1056	1414	907	3744	2003	2055
YGL100W	VII	313234	314283	+	1050	1168	1791	989	4362	1996	2241
YGR288W	VII	1070293	1071714	+	1422	572	671	475	1704	1064	970
YGL174W	VII	174545	175345	+	801	367	569	275	1354	546	758
